customer_id,full_name,gender,date_of_birth,city,membership_type,join_date,age,age_group,tenure_years
1,Amaira Maharaj,Female,1971-08-12,Hyderabad,Regular,2023-05-29,55,46-60,3.2
2,Caleb Sami,Male,1962-01-08,Bengaluru,Regular,2023-04-10,64,60+,3.3
3,Yashawini Bala,Female,1985-11-05,Jodhpur,Regular,2025-02-01,40,31-45,1.5
4,Thomas Sen,Other,1987-02-09,Udaipur,Platinum,2025-05-12,39,31-45,1.2
5,Gauri Sami,Female,1975-11-26,Ahmedabad,Regular,2023-06-15,50,46-60,3.1
6,Dalaja Chanda,Female,1977-09-08,Jaipur,Silver,2024-01-18,48,46-60,2.5
7,Kevin Bassi,Male,1993-06-05,Hyderabad,Silver,2024-07-25,33,31-45,2.0
8,Balveer Memon,Male,1997-11-30,Jodhpur,Regular,2024-10-20,28,21-30,1.8
9,Gopal Boase,Male,1962-08-27,Lucknow,Regular,2023-08-31,63,60+,2.9
10,Balveer Kaul,Male,1999-08-01,Hyderabad,Regular,2024-02-09,27,21-30,2.5
11,Rajata Gaba,Female,1977-04-01,Udaipur,Regular,2023-08-12,49,46-60,3.0
12,Bimala Garg,Female,1984-08-17,Chennai,Silver,2023-09-18,41,31-45,2.9
13,Ranveer Madan,Male,2005-02-12,Udaipur,Regular,2024-11-12,21,21-30,1.7
14,Nicholas Bhalla,Male,1970-11-24,Ahmedabad,Regular,2023-02-04,55,46-60,3.5
15,Sai Loyal,Male,1963-07-27,Pune,Silver,2025-08-30,63,60+,0.9
16,Jagvi Tata,Female,1978-05-24,Mumbai,Silver,2025-08-31,48,46-60,0.9
17,Luke Lanka,Other,1966-11-15,Hyderabad,Regular,2025-03-04,59,46-60,1.4
18,Tanish Rastogi,Male,1976-11-17,Udaipur,Regular,2025-11-28,49,46-60,0.7
19,Yatin Chand,Male,1994-08-08,Hyderabad,Gold,2025-07-06,32,31-45,1.1
20,Nathaniel Sami,Other,1987-06-06,Bengaluru,Gold,2024-02-14,39,31-45,2.5
21,Zarna Krishnamurthy,Female,2004-04-15,Ahmedabad,Silver,2025-07-05,22,21-30,1.1
22,Deepa Yadav,Female,1994-05-19,New Delhi,Gold,2025-03-29,32,31-45,1.4
23,Dayita Memon,Female,1980-02-26,Jodhpur,Gold,2024-04-28,46,46-60,2.3
24,Zashil Gokhale,Male,1983-06-09,Mumbai,Regular,2023-04-24,43,31-45,3.3
25,Zehaan Issac,Male,1967-06-21,New Delhi,Regular,2025-03-23,59,46-60,1.4
26,Neel Suresh,Male,1961-06-20,Bengaluru,Silver,2025-09-16,65,60+,0.9
27,Kashvi Bhardwaj,Female,1971-06-06,Ahmedabad,Regular,2024-08-27,55,46-60,1.9
28,Brijesh Sunder,Male,1997-04-24,Udaipur,Gold,2025-11-07,29,21-30,0.7
29,Devansh Soman,Male,2003-03-14,Surat,Platinum,2023-06-25,23,21-30,3.1
30,Hitesh Zacharia,Male,1994-07-30,Chennai,Regular,2025-01-04,32,31-45,1.6
31,Sudiksha Prakash,Female,1980-04-21,Bengaluru,Regular,2024-07-05,46,46-60,2.1
32,Krishna Kar,Female,1963-06-22,Jodhpur,Regular,2023-01-23,63,60+,3.5
33,Imaran Amble,Male,1963-10-14,Ahmedabad,Regular,2024-11-03,62,60+,1.8
34,Bhavna Balay,Female,1999-04-10,New Delhi,Regular,2023-03-17,27,21-30,3.4
35,Liam Sunder,Male,1970-03-26,Jaipur,Gold,2023-05-21,56,46-60,3.2
36,Keya Solanki,Female,1996-12-05,Pune,Silver,2023-07-22,29,21-30,3.0
37,Tanveer Pandya,Male,1979-08-26,Surat,Regular,2024-05-12,46,46-60,2.2
38,Chandran Bhat,Male,1978-09-16,Ahmedabad,Platinum,2023-12-28,47,46-60,2.6
39,Kritika Handa,Female,1969-02-24,Pune,Gold,2024-04-22,57,46-60,2.3
40,Gavin Mallick,Male,1981-05-29,Pune,Platinum,2025-07-20,45,31-45,1.0
41,Timothy Chaudhari,Male,1962-11-13,Ahmedabad,Regular,2025-11-30,63,60+,0.7
42,Chakradhar Khalsa,Male,1968-01-28,Lucknow,Silver,2024-06-01,58,46-60,2.2
43,Suhani Bhargava,Female,1967-12-31,Jodhpur,Regular,2023-01-03,58,46-60,3.6
44,Libni Sha,Female,1973-06-05,Bengaluru,Gold,2025-01-11,53,46-60,1.6
45,Garima Gupta,Female,1973-12-10,Jaipur,Silver,2025-10-28,52,46-60,0.8
46,Naksh Bhandari,Male,1962-11-06,Lucknow,Platinum,2024-05-22,63,60+,2.2
47,Ayush Trivedi,Male,1964-03-12,Lucknow,Regular,2023-07-17,62,60+,3.1
48,Jacob Raval,Male,1965-12-26,Hyderabad,Silver,2025-08-06,60,46-60,1.0
49,Anusha Bumb,Female,1979-06-16,Jodhpur,Silver,2024-09-13,47,46-60,1.9
50,Leena Jayaraman,Female,1990-09-23,Jodhpur,Silver,2023-12-01,35,31-45,2.7
51,Rudra Deep,Male,1990-10-25,Surat,Silver,2023-11-16,35,31-45,2.7
52,Balhaar Andra,Male,1981-03-19,Hyderabad,Regular,2025-11-29,45,31-45,0.7
53,Balhaar Yogi,Male,1970-03-08,New Delhi,Regular,2023-10-10,56,46-60,2.8
54,Bakhshi Konda,Male,1977-03-21,Surat,Silver,2023-06-18,49,46-60,3.1
55,Abhiram Mistry,Other,2002-07-09,Chennai,Regular,2023-04-21,24,21-30,3.3
56,Kevin D’Alia,Male,2000-08-17,Ahmedabad,Regular,2025-03-01,25,21-30,1.4
57,Laban Manda,Male,1987-10-22,Udaipur,Regular,2025-02-03,38,31-45,1.5
58,Kevin Tiwari,Male,1982-07-29,Udaipur,Regular,2025-08-22,44,31-45,1.0
59,Chakradhar Sampath,Male,1997-11-29,Lucknow,Platinum,2023-02-16,28,21-30,3.5
60,Dhruv Lala,Male,1967-11-11,New Delhi,Platinum,2024-04-15,58,46-60,2.3
61,Aarna Choudhury,Female,1963-12-23,Surat,Platinum,2025-07-29,62,60+,1.0
62,Andrew Pingle,Male,1986-10-21,Hyderabad,Gold,2023-06-07,39,31-45,3.2
63,Benjamin Morar,Other,1976-12-31,Pune,Silver,2025-09-20,49,46-60,0.9
64,Praneel Kade,Male,1991-04-14,Chennai,Regular,2024-12-11,35,31-45,1.6
65,Samar Dubey,Male,2002-04-01,Mumbai,Platinum,2023-09-10,24,21-30,2.9
66,Hema Sachar,Female,1961-09-15,Pune,Regular,2025-02-23,64,60+,1.4
67,Samesh Kothari,Male,1972-08-06,Jodhpur,Gold,2025-04-18,54,46-60,1.3
68,Sai Barad,Female,1999-03-24,Jaipur,Regular,2023-08-25,27,21-30,2.9
69,Pushti Mody,Female,1997-07-07,Pune,Regular,2025-07-16,29,21-30,1.1
70,Amaira Hans,Female,1978-07-10,Bengaluru,Gold,2023-10-24,48,46-60,2.8
71,Liam Panchal,Male,1989-06-16,Ahmedabad,Regular,2024-03-01,37,31-45,2.4
72,Akshay D’Alia,Male,2000-01-22,Udaipur,Silver,2023-10-06,26,21-30,2.8
