rental_id,vehicle_id,customer_id,pickup_location_id,return_location_id,handled_by_employee,pickup_date,expected_return_date,actual_return_date,rental_status,daily_rate_applied,total_amount,rental_days,make,model,fuel_type,transmission,category_name,customer_name,membership_type,gender,location_id,pickup_location,pickup_city,rental_month,rental_year,month_name,day_of_week,is_late_return,late_days,revenue_per_day
1,102,373,9,9,45,2025-05-28,2025-05-31,2025-05-31,Completed,7000.0,19950.0,3,Audi,A6,Petrol,Automatic,Luxury,Gagan Sahni,Silver,Male,9,Ahmedabad Branch,Ahmedabad,2025-05,2025,May,Wednesday,0,0,6650.0
2,38,754,4,4,16,2025-11-06,2025-11-10,2025-11-10,Completed,2500.0,10000.0,4,Honda,City,Petrol,Manual,Sedan,Anusha Nagi,Regular,Female,4,Mumbai Andheri Branch,Mumbai,2025-11,2025,November,Thursday,0,0,2500.0
4,134,649,10,10,48,2025-10-26,2025-10-31,2025-10-30,Completed,4450.0,21137.5,4,Maruti Suzuki,Ertiga,Diesel,Automatic,Van,Diya Balasubramanian,Silver,Female,10,Lucknow Branch,Lucknow,2025-10,2025,October,Sunday,0,0,5284.375
5,65,386,3,3,14,2026-05-05,2026-05-15,2026-05-14,Completed,1400.0,13300.0,9,Tata,Tiago,Petrol,Manual,Hatchback,Daniel Merchant,Silver,Male,3,Delhi Airport Branch,New Delhi,2026-05,2026,May,Tuesday,0,0,1477.7777777777778
6,113,170,3,3,13,2025-05-28,2025-05-30,2025-05-30,Completed,2250.0,4500.0,2,Honda,City,Petrol,Manual,Sedan,Eshana Rout,Regular,Female,3,Delhi Airport Branch,New Delhi,2025-05,2025,May,Wednesday,0,0,2250.0
7,85,738,10,10,49,2024-08-23,2024-08-24,2024-08-28,Completed,3900.0,3705.0,5,Kia,Seltos,Diesel,Automatic,Suv,Jeremiah Dhingra,Silver,Male,10,Lucknow Branch,Lucknow,2024-08,2024,August,Friday,1,4,741.0
8,162,525,4,4,16,2025-08-29,2025-08-30,2025-08-29,Completed,1350.0,1350.0,0,Hyundai,i10,Petrol,Automatic,Hatchback,Charan Munshi,Regular,Male,4,Mumbai Andheri Branch,Mumbai,2025-08,2025,August,Friday,0,0,1350.0
9,170,842,2,8,10,2026-06-18,2026-06-20,2026-06-20,Completed,1450.0,2755.0,2,Maruti Suzuki,Swift,Petrol,Manual,Hatchback,Baljiwan Gokhale,Silver,Male,2,Udaipur City Branch,Udaipur,2026-06,2026,June,Thursday,0,0,1377.5
10,47,639,3,3,13,2026-03-24,2026-03-28,2026-03-28,Completed,2250.0,9000.0,4,Hyundai,Verna,Petrol,Automatic,Sedan,Anjali Randhawa,Regular,Female,3,Delhi Airport Branch,New Delhi,2026-03,2026,March,Tuesday,0,0,2250.0
11,130,701,9,9,41,2024-01-17,2024-01-19,2024-01-19,Completed,2150.0,3870.0,2,Skoda,Slavia,Petrol,Manual,Sedan,Chakradhar Pradhan,Gold,Male,9,Ahmedabad Branch,Ahmedabad,2024-01,2024,January,Wednesday,0,0,1935.0
